tanaman,ketinggian,hujan,temperatur
stroberi,1284,617,19
bayam,1838,1724,30
kentang,1341,2616,14
bayam,1879,1950,23
stroberi,1080,604,19
bayam,1257,1978,20
bayam,1031,1961,21
stroberi,1480,662,19
jambu air,406,853,24
jambu air,45,701,25
kentang,998,2550,13
bayam,1381,1335,24
bayam,1866,1159,30
jambu air,314,802,24
stroberi,1192,643,20
stroberi,1024,638,17
bayam,1802,1104,30
jambu air,170,1097,24
kentang,1976,3201,20
stroberi,1485,607,18
bayam,23,1066,27
kentang,1765,3194,15
bayam,1457,1188,22
cabai,995,1957,28
cabai,717,1238,30
cabai,498,1500,22
jambu air,36,2004,25
jambu air,168,2319,25
cabai,1033,1796,22
stroberi,1275,661,17
kentang,768,2724,13
cabai,91,1062,22
jambu air,281,2120,22
stroberi,1038,649,17
stroberi,1023,666,17
kentang,990,3381,21
jambu air,108,639,14
kentang,2232,3551,20
jambu air,54,2235,13
kentang,2192,3144,13
stroberi,1015,613,19
kentang,1244,2442,13
jambu air,98,2290,16
kentang,2921,2787,24
cabai,595,1941,19
jambu air,300,1604,18
stroberi,1370,631,18
kentang,2601,3235,15
stroberi,1278,620,19
cabai,1270,1813,19
jambu air,322,1774,16
cabai,253,1622,19
cabai,79,911,29
jambu air,330,2665,22
jambu air,264,1929,20
cabai,59,1139,23
jambu air,156,1164,10
kentang,665,3561,24
bayam,1665,1379,25
kentang,1688,3531,22
stroberi,1347,607,17
kentang,1384,2613,22
bayam,677,1407,27
cabai,1042,851,19
kentang,2160,2714,14
kentang,2089,2872,15
bayam,1089,1076,22
cabai,659,1499,27
jambu air,416,2491,21
kentang,2381,3280,20
jambu air,53,1441,15
jambu air,362,2529,16
kentang,543,3177,19
bayam,785,1945,20
bayam,1605,1332,27
kentang,2873,2560,18
kentang,726,3200,21
stroberi,1203,624,20
kentang,2677,2540,21
kentang,2706,3404,13
stroberi,1351,675,19
kentang,732,2890,24
jambu air,379,1645,21
jambu air,240,2545,15
jambu air,275,1019,12
stroberi,1404,639,19
jambu air,434,1263,10
cabai,107,1702,24
jambu air,342,2945,24
cabai,788,1666,27
cabai,637,1546,21
jambu air,251,2117,10
stroberi,1233,639,17
cabai,651,970,25
cabai,265,871,27
cabai,362,1369,28
jambu air,388,913,11
jambu air,293,1402,19
bayam,1070,1845,26
bayam,565,1699,26
bayam,1264,1216,26
bayam,1569,1239,30
jambu air,472,2143,12
bayam,1338,1665,29
kentang,2561,2704,23
jambu air,425,2183,12
bayam,566,1345,20
bayam,438,1814,30
bayam,469,1799,30
bayam,1169,1967,30
stroberi,1261,661,18
stroberi,1303,624,20
kentang,2927,3554,14
cabai,442,1438,27
kentang,651,2578,20
cabai,144,903,25
jambu air,76,2860,17
jambu air,323,2363,10
bayam,1885,1743,20
kentang,1324,3552,15
stroberi,1344,648,20
bayam,603,1756,26
jambu air,294,1490,10
jambu air,26,851,11
bayam,1676,1298,27
kentang,988,3250,19
jambu air,358,722,12
cabai,633,1114,27
jambu air,377,526,23
kentang,2628,2560,24
cabai,1073,1783,19
stroberi,1478,627,17
jambu air,456,752,19
kentang,812,3219,15
cabai,1022,860,19
kentang,1384,2614,21
kentang,783,3083,21
stroberi,1270,676,19
kentang,2047,2477,21
bayam,390,1516,24
stroberi,1227,650,17
kentang,1720,3225,20
jambu air,474,2251,21
kentang,2812,3419,18
cabai,1383,1998,28
jambu air,114,632,13
kentang,2383,3070,19
kentang,2331,2941,18
stroberi,1011,643,20
stroberi,1050,633,18
kentang,946,3452,13
stroberi,1044,626,20
kentang,1809,3179,24
bayam,502,1170,26
stroberi,1386,646,18
kentang,2302,3528,18
cabai,691,1926,24
jambu air,359,2847,26
kentang,981,2449,20
jambu air,193,2018,19
kentang,1938,2979,18
bayam,363,1352,24
bayam,1510,1507,23
cabai,750,1669,23
cabai,400,1843,30
jambu air,300,2167,21
bayam,1716,1032,26
cabai,1133,1177,26
bayam,991,1180,30
bayam,1575,1845,22
kentang,1035,3339,17
jambu air,250,1821,18
cabai,1396,1051,24
bayam,400,1994,24
jambu air,474,1386,10
kentang,731,3587,22
kentang,499,2660,18
jambu air,191,2330,11
jambu air,226,1806,12
bayam,1948,1710,21
jambu air,294,1167,27
cabai,1212,1412,21
kentang,669,3332,19
cabai,955,1197,19
cabai,1210,1507,18
cabai,427,1914,26
jambu air,204,1768,18
jambu air,457,774,21
kentang,2428,3033,14
bayam,1589,1380,22
stroberi,1093,651,17
stroberi,1219,667,20
jambu air,204,2372,27
stroberi,1393,616,19
bayam,1388,1650,27
bayam,1116,1154,29
stroberi,1283,607,18
jambu air,289,2745,14
bayam,500,1104,27
cabai,1367,849,20
kentang,963,3132,13
bayam,1831,1619,26
stroberi,1198,652,17
jambu air,457,2866,16
cabai,757,1616,21
kentang,1952,3321,14
stroberi,1276,608,18
kentang,1630,3125,20
bayam,235,1388,26
stroberi,1410,682,20
stroberi,1004,616,18
jambu air,214,1436,23
jambu air,478,633,27
jambu air,97,1874,18
kentang,826,2837,21
bayam,1484,1770,27
cabai,531,1446,24
kentang,636,2627,19
kentang,1391,2577,16
stroberi,1387,685,18
kentang,1954,2996,17
kentang,2716,3076,20
stroberi,1420,699,18
stroberi,1125,607,18
bayam,529,1205,21
stroberi,1281,649,19
kentang,1470,2749,15
kentang,2160,2748,21
bayam,1837,1548,24
bayam,1928,1648,23
bayam,803,1695,29
cabai,809,1479,24
cabai,1276,1856,23
jambu air,233,2162,24
kentang,1284,2456,15
jambu air,443,1537,11
bayam,1860,1105,29
cabai,347,878,19
cabai,634,1117,25
stroberi,1184,637,20
kentang,1796,2723,15
stroberi,1319,622,18
stroberi,1190,694,18
stroberi,1154,615,19
cabai,1110,967,19
bayam,1803,1706,20
kentang,342,3568,13
bayam,1426,1537,29
jambu air,258,1986,23
jambu air,140,2091,13
jambu air,45,2603,11
stroberi,1441,652,18
stroberi,1419,673,20
bayam,579,1895,29
bayam,953,1420,29
kentang,1686,3118,14
jambu air,61,895,23
jambu air,7,2244,16
jambu air,172,1462,27
bayam,99,1427,25
cabai,402,1567,22
jambu air,200,2592,12
cabai,66,1922,24
stroberi,1405,656,18
stroberi,1133,658,20
jambu air,340,2869,10
jambu air,416,2836,26
stroberi,1145,681,17
jambu air,461,1071,20
bayam,1347,1491,27
stroberi,1397,647,20
cabai,39,1378,19
bayam,481,1633,23
stroberi,1233,641,17
stroberi,1180,650,17
bayam,1592,1037,24
stroberi,1271,654,19
jambu air,143,2154,23
cabai,1038,1191,18
stroberi,1310,652,18
bayam,1182,1341,25
kentang,1978,2524,19
bayam,272,1421,21
kentang,1673,2817,18
stroberi,1372,632,19
bayam,500,1231,29
jambu air,249,1824,17
bayam,255,1145,26
stroberi,1385,633,19
stroberi,1325,658,17
bayam,344,1305,27
cabai,1120,1270,30
stroberi,1384,669,17
jambu air,467,1492,13
stroberi,1031,609,18
cabai,336,1905,23
jambu air,261,2789,25
cabai,562,824,19
cabai,1183,1334,20
jambu air,53,921,28
kentang,2530,3120,15
bayam,1854,1380,29
cabai,413,1656,19
stroberi,1309,645,19
stroberi,1083,689,20
stroberi,1221,653,19
kentang,1584,3186,14
kentang,2855,2475,21
stroberi,1500,679,19
stroberi,1192,655,18
cabai,1027,1973,25
cabai,1080,1680,22
bayam,1666,1911,28
bayam,660,1316,22
kentang,2061,2704,16
stroberi,1451,638,18
kentang,2873,2535,16
stroberi,1288,654,19
jambu air,430,1107,25
stroberi,1045,612,19
bayam,1213,1649,20
stroberi,1330,623,17
stroberi,1058,690,19
cabai,267,1346,23
cabai,1037,1978,28
cabai,877,964,23
bayam,1118,1110,21
cabai,1336,1560,26
cabai,552,1273,21
kentang,2211,2616,24
jambu air,235,724,12
cabai,905,1294,20
jambu air,396,841,28
cabai,140,1616,24
cabai,287,1195,18
kentang,2798,2682,19
bayam,1259,1151,27
cabai,721,1919,28
jambu air,451,2950,14
jambu air,51,2028,25
bayam,1028,1928,26
cabai,69,846,28
bayam,1713,1123,30
bayam,1028,1125,23
bayam,1351,1828,27
jambu air,450,1610,10
jambu air,106,2770,11
jambu air,71,1935,16
jambu air,21,739,15
kentang,712,3225,17
stroberi,1182,632,18
cabai,1230,843,20
kentang,2207,2753,22
stroberi,1321,622,18
bayam,113,1439,24
stroberi,1334,660,17
bayam,755,1756,26
kentang,2085,3383,21
stroberi,1048,605,17
bayam,1270,1542,28
cabai,513,1378,26
stroberi,1010,694,17
kentang,1581,3350,14
bayam,644,1154,20
bayam,331,1410,20
cabai,979,1270,22
stroberi,1355,680,20
jambu air,351,1055,19
bayam,310,1094,24
bayam,1842,1865,20
cabai,1078,947,19
kentang,1407,3247,22
stroberi,1496,662,19
kentang,563,2721,18
stroberi,1298,692,18
stroberi,1075,636,17
stroberi,1455,601,19
bayam,1200,1951,30
stroberi,1237,647,18
bayam,632,1950,27
cabai,729,1342,30
jambu air,290,2716,25
stroberi,1121,634,20
bayam,525,1050,26
kentang,2256,2700,14
cabai,808,1960,26
bayam,363,1626,24
cabai,411,1658,30
kentang,1713,3126,19
jambu air,401,1119,12
cabai,1081,1859,28
kentang,394,3235,16
cabai,934,1050,26
cabai,149,1634,18
cabai,821,1233,30
jambu air,20,561,12
bayam,1360,1982,27
stroberi,1196,692,17
bayam,840,1787,30
cabai,1345,1826,20
stroberi,1222,618,19
stroberi,1258,641,18
jambu air,117,1921,20
kentang,1641,2587,14
bayam,587,1308,23
bayam,492,1153,27
jambu air,326,1137,22
cabai,845,1939,25
stroberi,1220,692,20
kentang,2244,3540,13
bayam,1395,1822,22
stroberi,1369,637,19
kentang,2329,3398,19
bayam,64,1087,22
jambu air,202,1224,26
jambu air,417,2872,12
kentang,2394,3391,15
cabai,722,1050,20
kentang,675,2502,19
bayam,1599,1763,28
kentang,2285,3290,24
stroberi,1139,694,18
bayam,203,1273,23
jambu air,477,2152,15
stroberi,1019,606,18
bayam,1750,1011,26
cabai,1320,802,21
bayam,1283,1326,26
stroberi,1222,680,17
cabai,665,1539,21
stroberi,1115,696,20
stroberi,1048,679,17
stroberi,1086,646,20
bayam,770,1602,29
bayam,522,1867,22
stroberi,1191,623,20
bayam,555,1726,27
kentang,468,3477,22
jambu air,337,2045,11
kentang,2393,3071,14
stroberi,1128,652,19
jambu air,347,1376,28
jambu air,437,2594,28
kentang,1882,2566,15
cabai,253,1681,29
bayam,1441,1213,25
stroberi,1242,632,17
cabai,978,1746,27
cabai,136,816,29
bayam,862,1284,22
jambu air,311,1705,15
kentang,1315,2710,15
jambu air,36,533,16
jambu air,289,1582,19
jambu air,331,634,25
jambu air,235,2512,25
stroberi,1161,686,20
jambu air,127,582,10
kentang,2309,2804,20
stroberi,1414,625,18
stroberi,1166,600,18
jambu air,372,641,18
cabai,866,1865,19
kentang,2143,2829,18
kentang,960,3172,22
kentang,2391,3386,13
cabai,402,1021,28
bayam,1071,1089,20
stroberi,1224,615,17
stroberi,1344,638,19
cabai,380,1730,25
bayam,1402,1399,29
jambu air,171,2654,20
bayam,1820,1405,21
cabai,923,1934,30
cabai,825,1341,27
stroberi,1030,651,20
stroberi,1096,653,19
cabai,535,909,18
kentang,948,3210,18
bayam,36,1808,21
cabai,742,1920,26
cabai,388,1338,29
kentang,548,2688,21
bayam,1570,1412,28
stroberi,1196,624,19
bayam,1506,1993,26
cabai,474,924,24
stroberi,1440,683,17
cabai,386,1367,20
cabai,624,1203,29
bayam,859,1444,22
bayam,1911,1646,29
kentang,449,3285,22
bayam,860,1876,29
kentang,2401,3414,21
kentang,1594,3211,15
stroberi,1246,632,17
bayam,23,1890,30
bayam,765,1732,26
bayam,1652,1097,20
cabai,443,1393,28
cabai,261,1483,27
cabai,1271,1793,30
kentang,1252,3235,24
bayam,1052,1691,22
kentang,850,3555,19
stroberi,1208,694,20
jambu air,313,683,22
bayam,1774,1411,27
cabai,210,1961,20
stroberi,1031,667,18
bayam,1884,1290,26
bayam,1148,1815,24
cabai,478,819,24
bayam,540,1215,25
bayam,374,1448,20
bayam,1638,1531,26
cabai,871,1345,22
jambu air,448,1322,21
jambu air,454,2507,20
stroberi,1088,652,20
kentang,2207,3155,16
bayam,1746,1140,27
jambu air,297,2560,22
stroberi,1081,623,17
bayam,1210,1034,25
stroberi,1387,662,20
bayam,1244,1072,22
stroberi,1451,609,20
jambu air,437,823,16
bayam,163,1573,30
kentang,515,2907,19
cabai,511,966,19
bayam,1851,1697,20
cabai,1087,1476,21
bayam,1572,1794,26
stroberi,1059,621,18
cabai,568,902,28
jambu air,101,1347,24
bayam,1941,1240,26
jambu air,490,2732,13
kentang,2176,2469,13
jambu air,368,2920,11
stroberi,1307,667,17
kentang,311,2864,18
cabai,906,983,22
bayam,1686,1782,23
bayam,97,1362,29
cabai,197,1524,30
cabai,1361,1124,21
cabai,793,1103,30
cabai,1039,1813,19
kentang,978,3287,21
cabai,107,1222,25
kentang,2244,3465,14
stroberi,1122,615,20
kentang,629,3334,22
kentang,1200,3243,23
kentang,2808,2506,21
stroberi,1241,692,20
stroberi,1405,644,20
stroberi,1352,600,19
jambu air,171,1191,13
kentang,2809,3216,14
jambu air,387,1847,25
stroberi,1282,635,17
stroberi,1229,605,17
cabai,1067,1254,19
jambu air,273,2735,11
bayam,584,1225,25
cabai,931,1911,18
cabai,727,1838,29
bayam,1853,1697,21
cabai,99,826,24
kentang,2976,2929,22
bayam,101,1462,27
bayam,1178,1413,20
kentang,2552,3366,15
kentang,2815,2865,19
stroberi,1008,697,19
stroberi,1475,676,18
stroberi,1366,691,20
cabai,1118,1849,28
jambu air,268,1965,23
kentang,372,3275,22
cabai,1381,1815,22
bayam,310,1286,27
bayam,1575,1268,28
stroberi,1375,609,17
cabai,1282,1381,24
cabai,1106,850,27
stroberi,1018,666,18
kentang,1673,3576,23
bayam,245,1786,22
cabai,888,1268,18
stroberi,1315,607,17
jambu air,60,1573,25
kentang,1985,2915,16
kentang,2241,3445,23
bayam,1799,1277,24
bayam,986,1460,21
kentang,2397,3079,23
stroberi,1223,605,20
cabai,644,1664,26
bayam,1829,1869,30
kentang,1539,3217,19
jambu air,5,640,18
stroberi,1358,630,19
jambu air,293,2621,12
kentang,2406,3411,23
stroberi,1495,653,19
bayam,730,1611,29
bayam,725,1600,29
bayam,1559,1927,27
jambu air,409,2081,17
jambu air,477,2232,19
cabai,46,1744,25
jambu air,264,1159,22
bayam,1309,1975,25
jambu air,11,737,28
cabai,259,1081,27
kentang,1999,2479,13
cabai,214,1546,25
bayam,537,1813,20
kentang,666,3100,24
cabai,364,1130,29
stroberi,1133,669,18
stroberi,1000,602,18
cabai,1098,1043,30
stroberi,1211,663,18
stroberi,1007,633,17
kentang,1648,3146,24
stroberi,1336,696,19
stroberi,1494,698,17
jambu air,275,2957,10
kentang,1992,3433,20
stroberi,1341,650,19
cabai,1139,1503,26
stroberi,1030,660,20
stroberi,1021,664,19
cabai,1386,1027,22
cabai,285,991,19
cabai,313,1877,18
bayam,1640,1643,21
stroberi,1061,617,18
jambu air,89,897,24
kentang,2908,3518,17
stroberi,1134,632,17
kentang,2378,3204,16
cabai,1396,1512,28
bayam,394,1958,21
cabai,274,1852,21
bayam,913,1673,27
bayam,367,1404,28
jambu air,17,1116,14
stroberi,1007,616,17
cabai,246,1131,20
cabai,1399,1319,25
bayam,977,1192,22
kentang,1590,3523,22
jambu air,473,715,14
stroberi,1038,610,19
cabai,735,1539,26
cabai,1088,1015,20
cabai,1313,1956,18
cabai,658,1226,18
bayam,616,1758,27
stroberi,1474,649,20
cabai,1288,958,24
cabai,372,1174,19
cabai,1090,1837,23
bayam,1993,1262,25
cabai,1196,1359,20
cabai,366,1326,18
jambu air,161,805,21
bayam,1655,1325,29
stroberi,1242,679,18
cabai,184,1871,29
cabai,845,1576,24
bayam,184,1419,21
stroberi,1088,640,17
bayam,1364,1192,22
bayam,1170,1729,27
bayam,1300,1267,20
jambu air,94,2139,26
cabai,897,1851,26
cabai,935,1130,21
bayam,602,1846,23
bayam,1409,1146,27
jambu air,26,2355,20
cabai,873,1837,19
kentang,2375,2886,18
stroberi,1060,626,20
jambu air,22,723,19
jambu air,184,1165,20
cabai,954,1855,23
kentang,1662,2758,14
cabai,795,1502,28
bayam,1201,1269,29
jambu air,259,1915,27
jambu air,77,1646,12
bayam,446,1397,26
stroberi,1446,665,19
stroberi,1377,656,17
bayam,446,1766,27
stroberi,1431,624,18
kentang,587,3282,19
stroberi,1090,688,19
bayam,752,1849,29
stroberi,1016,699,17
stroberi,1269,665,20
kentang,2900,3004,22
cabai,1361,910,29
kentang,1735,2461,23
jambu air,173,2150,23
bayam,1226,1964,20
cabai,112,1611,26
cabai,796,1355,29
kentang,2551,2401,24
stroberi,1096,692,20
kentang,842,2643,15
cabai,344,1070,24
kentang,711,2922,15
cabai,578,1189,18
kentang,1392,3361,22
bayam,655,1895,20
bayam,1647,1055,24
stroberi,1359,684,17
cabai,438,988,28
bayam,769,1849,29
stroberi,1049,646,17
cabai,637,1039,26
stroberi,1276,674,17
bayam,1532,1171,23
cabai,1161,1716,18
kentang,1076,2585,15
kentang,1528,2739,22
bayam,611,1666,26
kentang,1253,2836,16
stroberi,1144,623,18
kentang,2286,3276,22
bayam,375,1667,23
stroberi,1125,687,19
cabai,1127,1187,26
stroberi,1188,629,19
cabai,392,1742,19
bayam,1241,1621,27
cabai,698,1238,23
jambu air,364,972,23
cabai,247,1141,30
cabai,829,1526,27
kentang,2146,2472,15
kentang,635,3514,21
cabai,1269,845,27
kentang,977,2968,24
jambu air,108,2449,23
jambu air,246,548,23
stroberi,1194,613,17
cabai,92,1049,25
kentang,713,2983,22
kentang,1183,3357,23
kentang,2980,2587,15
stroberi,1029,606,17
cabai,303,1217,27
stroberi,1116,631,18
jambu air,143,1361,28
cabai,297,1269,26
bayam,414,1336,22
cabai,1064,1835,20
stroberi,1332,607,18
kentang,2828,2637,22
kentang,453,2577,17
jambu air,173,2022,23
kentang,1989,3536,23
jambu air,352,2992,25
kentang,2270,3248,24
cabai,376,1066,29
jambu air,168,2119,17
bayam,854,1513,21
jambu air,126,677,12
kentang,1898,3380,23
bayam,776,1283,24
cabai,1393,920,29
bayam,84,1248,27
jambu air,494,2495,17
bayam,902,1695,29
bayam,889,1535,29
bayam,657,1245,27
stroberi,1105,639,18
kentang,1756,2577,15
cabai,812,1647,24
jambu air,397,852,23
cabai,673,1869,25
jambu air,398,671,27
stroberi,1489,688,19
cabai,607,1678,23
cabai,42,821,26
cabai,234,1069,30
cabai,1192,1186,30
stroberi,1482,689,17
cabai,807,1256,26
jambu air,80,1025,28
kentang,2063,2816,15
kentang,2860,3390,14
stroberi,1251,693,20
stroberi,1064,678,20
cabai,284,1866,26
cabai,338,1749,30
jambu air,303,2529,27
bayam,938,1586,30
cabai,743,1000,21
jambu air,48,883,12
jambu air,108,689,18
kentang,1653,3516,23
bayam,1136,1366,20
kentang,925,3122,20
cabai,488,1017,18
jambu air,345,2223,22
jambu air,420,2092,17
stroberi,1441,685,17
cabai,576,1534,22
bayam,246,1602,20
jambu air,171,2337,12
jambu air,168,923,13
bayam,1496,1808,28
jambu air,280,2192,18
stroberi,1096,678,18
stroberi,1155,689,20
bayam,19,1632,28
bayam,738,1578,28
stroberi,1061,681,18
stroberi,1220,625,20
stroberi,1155,656,20
kentang,2723,3537,19
stroberi,1022,665,20
jambu air,289,2414,20
cabai,281,1789,27
bayam,1583,1478,29
kentang,2761,2996,15
jambu air,209,2974,28
cabai,1089,1462,19
cabai,10,1362,27
bayam,354,1721,24
cabai,479,881,30
cabai,550,988,18
cabai,1072,1633,30
stroberi,1000,689,19
stroberi,1282,669,20
kentang,1195,3397,17
bayam,507,1157,21
cabai,915,1488,28
stroberi,1420,665,19
cabai,184,988,21
bayam,166,1910,21
jambu air,302,2895,12
