tanaman,ketinggian,hujan,temperatur
jambu air,210,769,10
bayam,1514,1328,23
kentang,2650,3016,13
cabai,840,1166,30
cabai,1256,1882,21
kentang,953,3256,17
cabai,602,1639,21
cabai,417,1995,28
bayam,1285,1443,25
cabai,1275,1869,23
bayam,1620,1544,27
kentang,997,3041,20
jambu air,413,2797,18
bayam,1765,1867,30
kentang,1096,2863,23
stroberi,1062,648,17
stroberi,1040,631,19
stroberi,1033,649,18
kentang,944,2441,15
kentang,2751,3174,23
jambu air,15,1595,16
kentang,2083,2596,19
cabai,1357,1832,21
stroberi,1376,651,17
bayam,1402,1083,21
cabai,416,1359,29
cabai,1256,1586,22
jambu air,317,993,25
bayam,178,1489,20
jambu air,422,2605,23
bayam,1755,1253,27
cabai,924,939,28
stroberi,1083,681,17
bayam,237,1385,24
bayam,1762,1157,23
bayam,1860,1685,29
bayam,1061,1132,25
jambu air,108,2146,16
cabai,317,1437,19
bayam,1157,1392,20
bayam,932,1001,28
bayam,199,1951,23
bayam,902,1171,25
bayam,760,1016,22
cabai,95,1742,21
cabai,231,1357,29
bayam,73,1028,29
bayam,1686,1645,30
stroberi,1366,621,18
kentang,2689,3290,24
stroberi,1105,654,19
bayam,457,1359,25
kentang,406,2998,19
stroberi,1123,676,17
stroberi,1122,656,18
jambu air,97,599,26
bayam,1994,1071,21
bayam,1511,1955,23
cabai,978,1176,28
bayam,1153,1303,21
kentang,384,3584,18
cabai,859,1321,18
bayam,1934,1239,29
cabai,1252,838,19
stroberi,1410,609,20
bayam,1869,1112,27
stroberi,1442,675,19
kentang,1551,2751,19
bayam,122,1237,26
stroberi,1110,663,17
stroberi,1321,670,19
bayam,625,1025,26
kentang,1224,3442,16
bayam,858,1404,20
cabai,565,1180,19
bayam,1972,1435,24
cabai,179,1790,30
bayam,1869,1636,26
cabai,186,1087,24
stroberi,1419,658,17
bayam,619,1135,30
jambu air,431,571,26
jambu air,23,2761,24
cabai,688,1892,27
stroberi,1104,685,19
kentang,729,3280,17
bayam,815,1852,23
jambu air,130,2893,12
bayam,781,1380,21
kentang,539,3032,15
jambu air,219,1616,28
cabai,1366,800,25
bayam,957,1242,28
kentang,1000,3528,16
bayam,421,1858,29
stroberi,1087,666,17
kentang,2560,2439,16
bayam,1434,1609,23
stroberi,1376,618,20
stroberi,1001,605,18
cabai,758,1659,27
jambu air,465,1535,15
kentang,2277,2599,24
cabai,436,1735,22
bayam,1758,1544,30
cabai,385,1231,18
stroberi,1329,620,17
stroberi,1448,681,20
stroberi,1379,683,18
stroberi,1374,606,20
stroberi,1142,692,20
stroberi,1066,671,17
stroberi,1297,608,19
jambu air,368,2832,10
cabai,1003,1670,29
bayam,21,1619,28
cabai,288,857,20
bayam,1201,1350,30
cabai,864,1118,22
cabai,992,1496,22
bayam,1974,1647,30
jambu air,305,1193,16
bayam,736,1373,24
jambu air,261,981,13
bayam,1673,1188,26
kentang,636,3299,13
kentang,2401,2919,14
cabai,112,1289,21
jambu air,387,1200,25
kentang,1302,3326,18
cabai,860,1090,30
cabai,481,1209,26
bayam,1146,1261,20
kentang,1077,2963,19
bayam,115,1778,30
cabai,915,1444,21
cabai,349,933,19
bayam,1002,1444,25
jambu air,278,843,16
stroberi,1308,683,17
kentang,2332,2672,13
jambu air,468,1400,25
jambu air,380,1060,23
stroberi,1215,602,19
jambu air,485,544,22
cabai,370,1618,18
cabai,1387,1691,25
cabai,1077,1378,28
stroberi,1392,627,18
cabai,1282,1155,22
jambu air,451,2813,28
jambu air,434,2228,22
bayam,1918,1562,26
jambu air,181,1322,10
jambu air,143,1106,28
stroberi,1411,692,19
kentang,713,2896,20
bayam,600,1591,21
cabai,1330,1623,30
bayam,1910,1494,27
bayam,396,1561,30
jambu air,497,1436,13
stroberi,1237,611,18
stroberi,1500,675,17
bayam,922,1234,21
stroberi,1460,636,18
jambu air,246,1132,10
cabai,925,1170,24
kentang,1284,3209,17
cabai,25,1377,27
stroberi,1168,654,17
bayam,266,1403,23
kentang,2123,3358,22
bayam,1179,1614,20
stroberi,1474,690,19
cabai,667,1933,26
kentang,1999,2631,19
stroberi,1050,691,19
stroberi,1352,635,19
bayam,184,1399,23
bayam,626,1621,26
kentang,334,3084,17
bayam,1428,1219,20
stroberi,1438,605,17
bayam,1795,1065,28
cabai,27,988,28
cabai,66,1959,30
stroberi,1475,638,18
stroberi,1062,627,20
jambu air,250,732,13
cabai,1294,929,20
kentang,1235,3007,13
cabai,1392,930,24
stroberi,1484,646,18
stroberi,1173,622,19
bayam,41,1329,25
jambu air,498,2589,11
bayam,219,1083,25
bayam,1748,1460,22
cabai,535,899,21
cabai,239,1470,25
jambu air,257,529,12
kentang,2194,2716,15
stroberi,1206,630,20
cabai,170,922,26
stroberi,1017,655,20
jambu air,285,2276,11
kentang,2714,2742,16
bayam,1809,1994,21
kentang,2031,3526,21
stroberi,1446,660,17
jambu air,185,1222,15
cabai,441,1719,22
kentang,907,2791,16
stroberi,1193,637,17
stroberi,1344,668,18
jambu air,426,1057,15
jambu air,417,611,26
cabai,1036,1055,24
kentang,925,2812,24
stroberi,1102,605,19
bayam,1505,1645,25
cabai,140,1674,28
stroberi,1220,675,20
bayam,220,1175,26
stroberi,1414,635,17
cabai,490,1604,20
cabai,1129,1700,20
cabai,325,1610,29
bayam,1656,1504,21
kentang,710,2662,20
jambu air,419,2208,16
kentang,916,3542,14
stroberi,1177,673,18
stroberi,1193,695,17
cabai,688,1064,22
jambu air,417,545,19
stroberi,1118,657,18
cabai,498,1481,29
kentang,2132,2845,22
bayam,1688,1935,30
jambu air,318,2551,10
jambu air,100,2292,20
jambu air,41,1307,14
bayam,1591,1569,26
stroberi,1310,604,20
jambu air,420,1773,14
stroberi,1056,678,18
stroberi,1257,677,20
bayam,1403,1297,27
kentang,1724,2887,16
jambu air,376,2996,20
jambu air,471,2216,23
cabai,715,1814,22
bayam,1124,1673,22
cabai,1399,911,27
jambu air,150,781,27
stroberi,1199,662,18
kentang,1414,2510,24
kentang,1721,2861,22
jambu air,428,1722,18
cabai,975,1541,23
stroberi,1032,700,18
kentang,2789,3108,17
jambu air,294,1748,22
cabai,1060,1481,26
jambu air,477,1267,17
jambu air,154,2229,24
cabai,534,1023,19
stroberi,1344,631,18
cabai,1173,1718,24
cabai,733,1494,24
stroberi,1391,674,20
bayam,1533,1143,28
jambu air,441,1175,16
jambu air,444,509,23
stroberi,1209,633,20
kentang,2295,2439,13
stroberi,1232,626,20
cabai,168,1660,26
jambu air,288,2844,10
cabai,806,1919,18
cabai,852,1894,27
kentang,395,2493,17
kentang,1435,3025,22
cabai,1198,1539,21
kentang,1470,2985,22
stroberi,1287,673,17
jambu air,218,2960,19
jambu air,210,2968,27
bayam,1046,1216,30
cabai,1115,1835,20
bayam,1523,1238,29
jambu air,499,1643,21
bayam,14,1947,22
stroberi,1338,624,18
jambu air,482,2178,20
cabai,357,1463,18
jambu air,473,1872,11
cabai,1262,1745,26
bayam,1215,1832,24
stroberi,1291,629,19
stroberi,1438,661,20
bayam,949,1261,30
stroberi,1018,613,18
jambu air,246,2963,20
kentang,334,2662,24
cabai,966,1284,18
kentang,2193,2535,21
bayam,516,1687,28
kentang,2083,2904,16
kentang,2056,2502,19
kentang,1215,3357,17
jambu air,145,2138,17
cabai,846,1442,19
bayam,483,1978,25
cabai,958,1377,26
kentang,2111,3146,15
bayam,1046,1760,30
jambu air,436,1932,14
bayam,723,1837,24
bayam,375,1923,27
kentang,2624,3559,24
bayam,930,1857,22
jambu air,293,2197,16
stroberi,1037,616,19
jambu air,253,823,28
cabai,235,1059,21
stroberi,1498,676,20
kentang,1208,3480,21
bayam,756,1315,29
cabai,108,1948,21
kentang,1841,2816,16
stroberi,1466,663,18
stroberi,1091,619,18
jambu air,305,2420,22
jambu air,132,2619,12
kentang,785,3285,14
jambu air,328,1610,19
kentang,963,3462,16
cabai,350,1573,23
stroberi,1087,644,17
stroberi,1366,603,19
cabai,549,1997,19
stroberi,1259,672,19
bayam,904,1077,28
jambu air,88,1522,24
jambu air,468,1701,11
kentang,961,3264,20
kentang,2019,2412,16
jambu air,19,2998,15
jambu air,286,1446,14
kentang,2366,2599,24
jambu air,359,1444,28
cabai,693,1912,28
bayam,1919,1852,20
bayam,1515,1455,21
kentang,2622,2594,22
kentang,2009,2986,21
kentang,648,3532,15
bayam,1464,1528,24
bayam,1472,1388,22
kentang,1969,3381,19
stroberi,1103,616,19
jambu air,358,865,21
kentang,2557,3432,23
cabai,663,887,19
stroberi,1465,661,18
cabai,122,1881,18
kentang,1493,2519,24
cabai,1123,1376,27
kentang,1548,3412,15
stroberi,1442,603,18
stroberi,1153,632,19
kentang,1548,2661,23
cabai,840,1453,27
kentang,975,2698,23
bayam,1892,1253,26
bayam,1848,1317,28
kentang,1624,2802,21
stroberi,1408,676,19
stroberi,1475,628,18
bayam,546,1272,29
bayam,1867,1592,22
jambu air,487,1992,27
jambu air,92,2859,13
kentang,1456,3241,19
bayam,1955,1259,21
jambu air,428,1387,24
stroberi,1363,693,18
bayam,1835,1385,20
jambu air,136,915,20
bayam,1213,1836,24
jambu air,327,2129,23
jambu air,324,1766,19
kentang,1713,2939,23
stroberi,1457,609,17
cabai,266,1734,28
jambu air,325,504,26
kentang,2978,3010,14
kentang,950,2679,14
jambu air,433,2926,16
cabai,424,932,19
bayam,1593,1041,25
stroberi,1168,609,17
stroberi,1495,612,20
jambu air,226,2719,27
cabai,717,1429,21
stroberi,1487,692,18
kentang,2546,2473,24
kentang,1051,2632,24
kentang,2059,3436,20
cabai,376,1294,23
kentang,2284,3208,21
kentang,2804,2868,21
stroberi,1373,619,18
bayam,1466,1759,27
stroberi,1334,669,20
cabai,294,1537,26
stroberi,1341,658,17
stroberi,1140,694,20
stroberi,1372,695,19
stroberi,1075,680,18
jambu air,367,2325,10
kentang,571,2870,23
kentang,2914,3282,15
bayam,623,1980,26
cabai,1109,1239,19
bayam,1126,1711,28
jambu air,19,1745,10
jambu air,341,2686,14
bayam,1173,1146,25
stroberi,1077,654,17
stroberi,1018,687,20
kentang,1341,2763,13
kentang,1457,2781,18
jambu air,353,1518,23
kentang,2315,2549,19
cabai,367,1555,18
jambu air,118,1350,24
bayam,1936,1392,24
cabai,283,1427,19
cabai,1256,1222,30
stroberi,1091,630,19
cabai,106,1697,20
kentang,1294,3525,19
jambu air,121,2792,13
cabai,1091,1459,24
kentang,2152,3562,15
cabai,1381,1102,18
cabai,1349,1210,23
jambu air,50,776,28
stroberi,1117,644,18
cabai,318,1372,20
cabai,634,1856,21
bayam,532,1020,25
stroberi,1385,601,20
cabai,730,1161,22
jambu air,117,2691,26
cabai,472,1924,26
cabai,869,1279,21
cabai,33,1827,26
jambu air,333,2604,21
bayam,1346,1757,28
cabai,249,1133,18
kentang,1202,2826,16
kentang,537,2925,15
stroberi,1306,663,17
bayam,618,1965,23
jambu air,46,569,25
kentang,2102,2673,17
kentang,315,3084,22
stroberi,1004,700,18
bayam,1262,1764,20
cabai,1094,1780,24
kentang,1449,3108,22
jambu air,460,2735,10
kentang,934,3160,20
kentang,1597,3314,22
stroberi,1152,682,19
bayam,938,1348,26
stroberi,1330,661,19
stroberi,1497,694,17
cabai,1068,1320,28
kentang,1011,2828,17
stroberi,1164,626,20
stroberi,1288,681,18
jambu air,20,1645,21
kentang,1722,3520,23
stroberi,1282,630,17
cabai,1272,1771,19
stroberi,1365,606,18
stroberi,1007,653,20
kentang,405,2741,22
cabai,565,1278,24
stroberi,1454,659,17
cabai,1132,1210,19
kentang,1662,2461,17
jambu air,249,645,18
stroberi,1136,621,18
kentang,2303,3454,19
kentang,1952,2901,19
kentang,1744,3467,19
kentang,2540,2940,19
kentang,1141,2566,16
stroberi,1429,674,18
cabai,838,1427,23
stroberi,1228,612,18
jambu air,23,1213,20
jambu air,163,2327,15
cabai,940,1765,21
cabai,897,1506,23
cabai,1190,1792,27
bayam,137,1627,21
bayam,1108,1262,29
cabai,726,1145,28
kentang,436,2741,19
stroberi,1458,677,19
jambu air,222,680,14
kentang,2448,2722,24
bayam,260,1887,22
bayam,87,1172,28
bayam,1691,1803,20
bayam,604,1244,23
bayam,893,1855,23
bayam,628,1432,21
stroberi,1108,687,20
jambu air,191,2058,18
jambu air,367,657,15
jambu air,259,1197,26
jambu air,182,2434,12
jambu air,315,695,11
stroberi,1031,632,19
bayam,1554,1050,22
bayam,79,1604,23
jambu air,111,1818,15
stroberi,1342,636,18
bayam,703,1536,26
jambu air,271,2162,23
cabai,978,884,24
jambu air,186,1060,25
cabai,1392,1513,24
stroberi,1028,661,18
cabai,342,1653,19
cabai,725,1575,26
bayam,1204,1961,26
bayam,762,1135,20
kentang,1067,2538,24
cabai,694,1619,27
jambu air,279,1780,14
bayam,1449,1793,27
stroberi,1430,686,19
stroberi,1268,606,17
cabai,1141,968,20
bayam,789,1698,30
stroberi,1360,652,19
kentang,458,2900,23
cabai,153,942,20
kentang,630,3293,18
bayam,640,1140,21
jambu air,470,1997,12
jambu air,29,858,23
stroberi,1473,645,18
jambu air,365,2088,27
stroberi,1431,677,18
kentang,1221,3340,13
kentang,969,3250,13
bayam,242,1253,26
kentang,1795,3145,19
bayam,1712,1548,23
kentang,1110,2699,15
cabai,324,1946,26
stroberi,1308,671,17
jambu air,41,1713,22
kentang,1884,3421,18
jambu air,170,720,28
kentang,1908,3158,18
kentang,1426,3063,21
cabai,661,1999,19
cabai,513,1177,23
stroberi,1037,638,20
stroberi,1206,624,19
stroberi,1365,625,19
bayam,286,1281,23
jambu air,305,1048,10
kentang,1687,3201,17
jambu air,495,898,24
bayam,396,1780,25
cabai,766,1853,25
kentang,1408,3336,15
stroberi,1459,653,18
kentang,988,2494,18
jambu air,284,2303,23
jambu air,225,1730,15
cabai,754,1238,19
cabai,847,1494,22
stroberi,1151,654,18
bayam,1332,1221,30
cabai,155,1724,26
cabai,589,888,26
bayam,1675,1684,30
stroberi,1192,681,17
cabai,1340,950,30
bayam,1299,1262,20
stroberi,1075,614,17
kentang,2761,2817,14
stroberi,1158,601,19
stroberi,1253,607,18
bayam,1780,1573,30
jambu air,31,868,26
kentang,2731,3404,17
stroberi,1164,674,19
stroberi,1457,669,19
bayam,484,1077,21
bayam,1853,1402,22
stroberi,1095,625,19
jambu air,245,1280,25
kentang,982,2664,22
bayam,1461,1569,22
bayam,1769,1050,28
jambu air,450,2175,24
kentang,1240,2907,21
stroberi,1034,686,20
cabai,1138,1084,20
jambu air,371,888,18
cabai,724,1833,21
stroberi,1390,605,18
jambu air,429,1613,15
bayam,13,1826,25
stroberi,1472,645,17
kentang,1388,2727,15
stroberi,1264,643,20
stroberi,1327,662,20
stroberi,1109,652,17
bayam,638,1903,20
cabai,775,1344,18
stroberi,1023,630,17
kentang,2958,2720,23
jambu air,336,2984,14
kentang,2414,2704,23
jambu air,496,1583,17
jambu air,392,2344,19
cabai,922,1610,18
cabai,62,808,29
jambu air,321,1079,25
stroberi,1493,637,20
jambu air,194,1013,22
bayam,439,1619,20
kentang,2838,3521,16
cabai,165,1630,29
bayam,630,1997,25
cabai,910,1662,19
stroberi,1220,681,20
jambu air,361,502,16
kentang,996,2418,15
stroberi,1252,623,19
bayam,856,1606,24
jambu air,313,2371,20
jambu air,49,1356,17
kentang,2188,3245,14
stroberi,1001,673,17
bayam,686,1142,20
kentang,834,2416,16
jambu air,59,585,16
bayam,841,1067,28
kentang,1173,3033,17
bayam,1094,1974,20
cabai,229,1164,20
cabai,369,1763,29
bayam,1233,1097,25
jambu air,34,1509,10
bayam,1120,1282,28
cabai,1020,1931,27
jambu air,369,1324,17
bayam,120,1836,28
cabai,1058,1198,26
stroberi,1405,664,19
cabai,1167,1752,29
kentang,2225,3580,13
stroberi,1487,671,20
kentang,2476,3140,24
jambu air,459,984,11
cabai,741,1597,25
kentang,579,3276,16
stroberi,1281,640,17
bayam,1683,1269,25
stroberi,1348,696,17
kentang,301,2811,20
stroberi,1092,700,17
bayam,1717,1470,24
kentang,2501,3527,18
jambu air,45,2125,24
stroberi,1214,657,20
kentang,1254,3482,17
kentang,2574,3590,22
kentang,456,3583,20
jambu air,322,1997,21
jambu air,306,1665,18
jambu air,82,1105,28
cabai,900,1534,28
kentang,1773,3127,23
cabai,332,1718,22
kentang,1263,3434,24
stroberi,1190,610,20
cabai,963,1197,28
bayam,199,1856,24
stroberi,1355,645,20
stroberi,1020,695,18
jambu air,28,2301,14
cabai,665,1122,19
kentang,353,2697,17
cabai,1026,988,26
stroberi,1307,649,19
jambu air,68,696,27
bayam,1167,1955,21
bayam,329,1157,28
jambu air,355,2242,19
bayam,1700,1342,28
bayam,1028,1482,29
bayam,1582,1163,29
jambu air,326,1863,17
jambu air,40,2940,13
cabai,747,1318,28
kentang,2010,3200,22
cabai,1070,1334,22
stroberi,1078,625,20
bayam,761,1286,23
cabai,1039,920,23
bayam,1758,1460,23
stroberi,1165,633,19
cabai,1309,1395,24
cabai,1215,1219,20
jambu air,47,2767,19
kentang,712,3409,24
jambu air,72,2695,17
jambu air,294,2324,24
jambu air,484,2630,16
kentang,2459,2876,19
kentang,1493,2866,15
bayam,1035,1689,30
cabai,811,951,26
cabai,1095,1903,28
stroberi,1438,680,18
cabai,1183,1892,25
jambu air,182,814,21
kentang,2924,3142,13
bayam,925,1633,20
cabai,45,1671,29
cabai,1341,926,24
stroberi,1425,653,17
jambu air,198,1116,16
kentang,2129,3534,21
jambu air,258,1689,20
kentang,2776,2410,22
bayam,766,1411,30
cabai,761,1700,27
jambu air,262,2320,22
stroberi,1409,617,17
bayam,284,1166,29
cabai,389,1322,20
stroberi,1057,628,20
stroberi,1032,657,20
kentang,1301,2619,17
cabai,41,964,22
kentang,2890,2770,19
bayam,1560,1533,29
bayam,1154,1705,26
cabai,983,1118,26
kentang,1662,3460,16
kentang,420,3228,24
bayam,1133,1366,20
stroberi,1489,623,18
stroberi,1062,672,19
jambu air,374,873,14
cabai,435,975,29
stroberi,1232,671,18
bayam,1601,1919,30
bayam,1208,1085,20
bayam,191,1024,23
jambu air,39,2469,17
stroberi,1435,697,20
stroberi,1225,697,17
bayam,684,1706,23
stroberi,1135,685,20
jambu air,341,1831,24
jambu air,272,2853,28
stroberi,1191,668,20
stroberi,1415,677,18
cabai,1323,1120,20
cabai,267,935,27
cabai,165,1096,19
jambu air,62,1664,27
kentang,2339,2951,23
kentang,601,2903,24
kentang,2179,3140,24
stroberi,1330,648,18
stroberi,1053,611,20
stroberi,1168,630,18
cabai,1145,1402,26
jambu air,84,2587,15
stroberi,1055,682,20
kentang,2762,3094,19
cabai,1356,1087,19
stroberi,1134,603,18
cabai,54,1699,28
kentang,1473,2436,16
jambu air,357,1796,14
jambu air,349,2896,12
cabai,1198,1398,18
bayam,718,1863,23
jambu air,240,2057,26
kentang,2285,2473,14
cabai,781,1274,21
jambu air,60,1857,23
cabai,987,1229,20
jambu air,133,2246,28
kentang,2606,3513,24
stroberi,1201,695,17
stroberi,1435,666,17
cabai,644,1653,18
jambu air,356,536,22
cabai,552,1894,27
kentang,748,3098,24
bayam,1658,1020,29
cabai,20,1266,19
kentang,1381,3077,17
cabai,1299,1198,23
kentang,2801,2451,18
bayam,905,1970,20
kentang,2192,3083,20
cabai,398,1187,19
jambu air,226,2603,16
kentang,1281,3057,22
jambu air,192,1954,19
bayam,1267,1279,21
kentang,866,3431,22
jambu air,271,1883,27
bayam,1656,1712,30
bayam,1447,1810,25
jambu air,177,1892,10
bayam,630,1641,20
jambu air,43,809,17
kentang,497,3355,13
stroberi,1481,647,19
bayam,1053,1912,28
jambu air,246,1117,18
stroberi,1141,678,17
bayam,1876,1369,29
cabai,1106,1689,18
kentang,976,3219,20
jambu air,295,507,16
kentang,1067,3523,14
cabai,425,1347,19
stroberi,1173,679,20
cabai,1222,1205,25
stroberi,1083,664,17
cabai,753,1533,26
cabai,7,1642,28
cabai,577,1397,21
cabai,905,1445,30
kentang,863,2961,13
kentang,1190,2970,19
kentang,2127,3105,23
cabai,853,1522,20
bayam,95,1657,30
stroberi,1136,697,19
bayam,1749,1664,27
jambu air,490,1192,26
cabai,68,1384,21
bayam,1870,1184,21
kentang,1409,2725,23
stroberi,1429,612,20
jambu air,34,2619,14
kentang,2414,3228,17
stroberi,1230,688,17
cabai,457,1314,29
stroberi,1184,666,20
kentang,2887,2615,17
bayam,661,1508,26
cabai,309,1865,24
cabai,343,1089,21
kentang,2774,3451,17
jambu air,98,2482,19
cabai,1174,1411,21
bayam,1314,1309,25
cabai,1093,1367,30
bayam,1120,1440,28
cabai,804,1168,30
jambu air,438,2581,11
cabai,697,1522,20
bayam,712,1690,29
jambu air,436,2150,12
kentang,684,2434,13
bayam,1248,1070,30
bayam,777,1091,23
jambu air,288,1894,27
jambu air,156,1329,18
cabai,28,1036,21
kentang,1732,2496,19
bayam,213,1965,30
stroberi,1361,638,19
cabai,1275,1838,22
kentang,302,2666,22
cabai,894,1884,20
bayam,1913,1344,27
kentang,1518,2764,13
stroberi,1461,645,18
kentang,2705,2620,21
stroberi,1435,600,17
bayam,1236,1233,23
kentang,572,3077,18
bayam,6,1167,29
kentang,1559,2878,19
cabai,503,1035,18
bayam,970,1646,24
bayam,490,1036,27
stroberi,1459,681,20
kentang,2628,2637,14
cabai,1336,1528,27
stroberi,1144,671,20
cabai,696,1320,19
cabai,297,1565,21
jambu air,416,613,22
kentang,2682,2877,21
bayam,1746,1593,22
jambu air,312,2908,20
jambu air,222,2354,17
jambu air,149,1933,24
bayam,762,1415,20
bayam,1444,1218,25
jambu air,232,2450,16
kentang,1210,3453,23
jambu air,220,1804,27
cabai,197,1192,24
bayam,1357,1266,24
kentang,1276,2776,15
stroberi,1009,644,18
jambu air,407,1299,25
kentang,777,3004,18
stroberi,1470,646,20
cabai,1267,1646,24
jambu air,222,2172,21
jambu air,228,2613,13
stroberi,1217,641,20
cabai,215,1768,23
jambu air,496,515,19
kentang,2930,3187,15
jambu air,288,1575,17
kentang,1064,2860,17
cabai,25,1311,21
cabai,1294,833,23
jambu air,439,1305,14
kentang,1866,3322,17
jambu air,153,2274,27
bayam,587,1841,26
bayam,1684,1716,29
kentang,1296,3101,17
stroberi,1469,623,17
kentang,1029,2646,17
stroberi,1370,650,18
cabai,853,1269,27
cabai,976,936,27
kentang,2736,3226,13
cabai,644,1284,21
stroberi,1157,650,20
stroberi,1250,672,20
cabai,1093,1906,24
jambu air,334,1233,18
jambu air,498,2626,26
bayam,1883,1301,27
stroberi,1213,624,18
stroberi,1276,695,20
kentang,542,2465,14
stroberi,1440,699,19
stroberi,1452,616,20
bayam,1540,1299,23
bayam,259,1684,26
stroberi,1238,697,17
bayam,1462,1383,22
kentang,2238,3592,18
kentang,2992,3420,21
stroberi,1335,688,20
bayam,320,1792,27
kentang,1133,2958,14
jambu air,359,2824,13
cabai,1128,1916,22
jambu air,428,2640,21
stroberi,1273,623,18
cabai,1237,1164,18
bayam,560,1791,29
stroberi,1272,641,20
bayam,1969,1579,28
stroberi,1092,633,19
cabai,943,1714,30
cabai,713,1358,28
jambu air,488,2225,24
cabai,157,1235,26
jambu air,418,584,11
bayam,1770,1685,29
kentang,1971,3359,14
bayam,1916,1240,23
jambu air,16,609,10
jambu air,132,1632,22
cabai,126,1271,30
cabai,888,1647,19
kentang,2740,3250,24
cabai,285,1146,18
stroberi,1198,648,17
stroberi,1397,679,18
stroberi,1449,611,19
kentang,456,3218,13
stroberi,1455,699,17
kentang,1045,2805,18
kentang,1893,3089,14
jambu air,59,1221,23
kentang,461,3355,23
kentang,2681,3074,15
stroberi,1476,658,20
kentang,1148,2846,14
jambu air,206,2990,15
bayam,301,1015,27
stroberi,1003,694,18
kentang,1980,2482,13
cabai,892,1154,25
stroberi,1013,632,19
jambu air,306,2169,21
kentang,1285,3023,22
jambu air,223,1363,11
kentang,1770,3064,14
bayam,1142,1428,21
bayam,506,1227,21
bayam,1234,1861,22
stroberi,1242,686,19
cabai,1345,1112,29
stroberi,1207,657,18
cabai,171,1556,30
jambu air,296,2792,24
